booking_id,passenger_id,flight_id,booking_date,status,seat_number,status_valid
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,5B,True
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,33E,True
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,12D,True
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,True
B1040,P1646,6E099,2025-08-08 11:37:36.951,CONFIRMED,26B,True
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,25C,True
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,24F,True
B1043,P1872,6E195,2025-11-22 11:37:36.951,CANCELLED,8E,True
B1044,P1282,6E174,2026-04-12 11:37:36.951,PENDING,16C,True
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,2C,True
B1047,P1833,6E151,2025-12-29 11:37:36.951,PENDING,7C,True
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,18C,True
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,7D,True
B1051,P1922,6E028,2025-07-05 11:37:36.951,CANCELLED,16A,True
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,33B,True
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,28B,True
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,19C,True
B1055,P1425,6E012,2025-10-14 11:37:36.951,CANCELLED,13F,True
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,15B,True
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,14F,True
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,8C,True
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,23B,True
B1060,P1066,6E086,2025-12-30 11:37:36.951,CONFIRMED,11A,True
B1061,P1005,6E114,2026-04-05 11:37:36.951,CANCELLED,19C,True
B1062,P1636,UK153,2025-06-12 11:37:36.951,CANCELLED,15D,True
B1063,P1313,6E149,2025-05-19 11:37:36.951,CANCELLED,9A,True
B1064,P1325,UK145,2025-09-14 11:37:36.951,CONFIRMED,24E,True
B1065,P1564,UK010,2026-03-06 11:37:36.951,CANCELLED,7B,True
B1066,P1577,SJ003,2025-11-05 11:37:36.951,PENDING,1B,True
B1067,P1825,SJ160,2025-07-23 11:37:36.951,PENDING,7F,True
B1068,P1505,UK224,2025-11-22 11:37:36.951,PENDING,23A,True
B1069,P1081,UK152,2025-08-02 11:37:36.951,CONFIRMED,16E,True
B1070,P1598,SJ034,2025-09-22 11:37:36.951,CANCELLED,15D,True
B1071,P1001,UK215,2025-12-21 11:37:36.951,CANCELLED,15F,True
B1072,P1203,UK089,2025-08-10 11:37:36.951,CANCELLED,18F,True
B1073,P1661,6E180,2025-12-04 11:37:36.951,CONFIRMED,16A,True
B1074,P1804,6E188,2025-09-25 11:37:36.951,CONFIRMED,7A,True
B1075,P1403,UK131,2026-01-03 11:37:36.951,CONFIRMED,2F,True
B1076,P1102,UK055,2025-05-04 11:37:36.951,CONFIRMED,12B,True
B1077,P1535,UK181,2025-05-03 11:37:36.951,PENDING,3A,True
B1078,P1367,6E077,2025-09-21 11:37:36.951,CONFIRMED,1B,True
B1079,P1211,SJ085,2025-06-03 11:37:36.951,CONFIRMED,10D,True
B1080,P1576,SJ023,2025-06-05 11:37:36.951,CONFIRMED,22D,True
B1081,P1960,SJ202,2025-11-13 11:37:36.951,CANCELLED,29C,True
B1082,P1208,SJ150,2025-09-09 11:37:36.951,CANCELLED,30A,True
B1083,P1762,SJ116,2025-05-12 11:37:36.951,CANCELLED,9A,True
B1084,P1896,6E270,2025-06-14 11:37:36.951,PENDING,16E,True
B1085,P1116,UK150,2026-03-24 11:37:36.951,PENDING,12A,True
B1086,P1627,SJ237,2026-02-16 11:37:36.951,CONFIRMED,5D,True
B1087,P1748,AI221,2025-05-08 11:37:36.951,CANCELLED,2F,True
B1088,P1477,SJ081,2026-03-25 11:37:36.951,PENDING,31A,True
B1089,P1104,UK189,2025-09-03 11:37:36.951,CANCELLED,25F,True
B1090,P1494,SJ068,2025-05-16 11:37:36.951,PENDING,31C,True
B1091,P1770,6E043,2025-08-18 11:37:36.951,PENDING,25D,True
B1092,P1045,UK187,2026-03-18 11:37:36.951,CONFIRMED,16D,True
B1093,P1822,UK074,2025-05-11 11:37:36.951,CONFIRMED,25E,True
B1094,P1330,UK004,2026-01-07 11:37:36.951,PENDING,24C,True
B1095,P1215,6E194,2025-07-30 11:37:36.951,CONFIRMED,14B,True
B1096,P1981,UK068,2026-01-03 11:37:36.951,PENDING,12B,True
B1099,P1812,6E254,2025-12-07 11:37:36.951,CONFIRMED,26E,True
B1100,P1921,UK077,2026-03-05 11:37:36.951,CONFIRMED,16D,True
B1101,P1844,AI029,2025-07-19 11:37:36.951,CONFIRMED,3D,True
B1103,P1535,AI242,2025-08-08 11:37:36.951,CANCELLED,20D,True
B1104,P1510,AI242,2025-09-12 11:37:36.951,CANCELLED,16E,True
B1105,P1457,SJ044,2025-09-11 11:37:36.951,CONFIRMED,19F,True
B1106,P1546,UK063,2025-09-01 11:37:36.951,CONFIRMED,21F,True
B1107,P1535,AI056,2025-05-19 11:37:36.951,CONFIRMED,30F,True
B1108,P1539,UK207,2025-10-11 11:37:36.951,CANCELLED,14B,True
B1109,P1483,UK166,2025-12-03 11:37:36.951,CANCELLED,33D,True
B1110,P1975,6E261,2025-12-17 11:37:36.951,PENDING,12B,True
B1111,P1999,UK134,2025-12-25 11:37:36.951,CANCELLED,34A,True
B1112,P1015,6E152,2025-10-02 11:37:36.951,PENDING,27A,True
B1113,P1570,SJ089,2025-11-23 11:37:36.951,CONFIRMED,5A,True
B1114,P1976,6E123,2025-09-26 11:37:36.951,CANCELLED,2E,True
B1115,P1242,AI025,2025-08-23 11:37:36.951,CONFIRMED,10A,True
B1116,P1949,6E030,2025-12-05 11:37:36.951,CONFIRMED,19B,True
B1117,P1206,SJ222,2025-09-02 11:37:36.951,CONFIRMED,28F,True
B1118,P1911,UK109,2026-04-03 11:37:36.951,CONFIRMED,34B,True
B1119,P1270,SJ117,2025-11-25 11:37:36.951,CANCELLED,21F,True
B1120,P1760,SJ142,2025-08-12 11:37:36.951,CONFIRMED,12D,True
B1121,P1993,SJ142,2025-06-01 11:37:36.951,PENDING,17C,True
B1122,P1778,AI030,2025-05-02 11:37:36.951,CANCELLED,20B,True
B1123,P1704,6E097,2025-09-23 11:37:36.951,CONFIRMED,8A,True
B1124,P1846,6E129,2025-05-23 11:37:36.951,CANCELLED,5C,True
B1125,P1729,6E181,2026-01-15 11:37:36.951,PENDING,27E,True
B1126,P1114,AI072,2025-10-20 11:37:36.951,CONFIRMED,10E,True
B1127,P1579,SJ154,2025-06-29 11:37:36.951,PENDING,2E,True
B1128,P1298,AI031,2026-04-08 11:37:36.951,CONFIRMED,10D,True
B1129,P1836,AI031,2025-09-18 11:37:36.951,PENDING,26F,True
B1130,P1482,6E158,2025-12-26 11:37:36.951,CONFIRMED,34E,True
B1131,P1396,6E184,2025-06-16 11:37:36.951,CANCELLED,1C,True
B1132,P1393,UK141,2025-06-20 11:37:36.951,CONFIRMED,10D,True
B1133,P1074,6E168,2025-12-29 11:37:36.951,CANCELLED,23D,True
B1134,P1977,6E051,2025-07-28 11:37:36.951,CONFIRMED,34C,True
B1135,P1481,6E047,2025-12-02 11:37:36.951,CONFIRMED,20E,True
B1136,P1102,UK156,2025-10-26 11:37:36.951,PENDING,28E,True
B1137,P1296,AI094,2025-09-01 11:37:36.951,PENDING,13E,True
B1138,P1177,AI038,2025-07-14 11:37:36.951,PENDING,6C,True
B1139,P1214,6E255,2026-01-19 11:37:36.951,CONFIRMED,29F,True
B1140,P1966,SJ025,2026-01-23 11:37:36.951,CONFIRMED,29D,True
B1141,P1314,SJ185,2025-10-28 11:37:36.951,CONFIRMED,9C,True
B1142,P1038,6E259,2026-01-21 11:37:36.951,CANCELLED,5C,True
B1143,P1258,6E073,2026-04-07 11:37:36.951,CANCELLED,15A,True
B1144,P1715,AI091,2025-09-26 11:37:36.951,CONFIRMED,6D,True
B1145,P1006,6E191,2025-08-23 11:37:36.951,PENDING,15D,True
B1146,P1048,UK228,2025-08-30 11:37:36.951,PENDING,25A,True
B1147,P1537,6E146,2026-03-25 11:37:36.951,PENDING,11E,True
B1148,P1160,6E068,2025-10-13 11:37:36.951,CONFIRMED,19A,True
B1149,P1868,SJ218,2026-01-08 11:37:36.951,PENDING,30F,True
B1150,P1175,UK083,2025-09-25 11:37:36.951,CONFIRMED,12A,True
B1151,P1590,SJ007,2026-01-18 11:37:36.951,CANCELLED,29B,True
B1152,P1001,AI077,2025-08-14 11:37:36.951,PENDING,27A,True
B1153,P1894,UK017,2025-12-20 11:37:36.951,CANCELLED,8D,True
B1154,P1454,6E229,2026-02-17 11:37:36.951,PENDING,24A,True
B1155,P1927,6E074,2025-10-08 11:37:36.951,CONFIRMED,6D,True
B1156,P1643,SJ088,2026-03-25 11:37:36.951,CONFIRMED,5E,True
B1157,P1275,SJ167,2025-06-28 11:37:36.951,CONFIRMED,18B,True
B1158,P1497,6E234,2025-07-20 11:37:36.951,CONFIRMED,22A,True
B1159,P1628,UK071,2025-12-10 11:37:36.951,PENDING,22F,True
B1160,P1675,AI178,2025-11-21 11:37:36.951,CANCELLED,29A,True
B1161,P1799,UK104,2025-11-14 11:37:36.951,CONFIRMED,12A,True
B1163,P1332,SJ235,2025-11-10 11:37:36.951,CANCELLED,13D,True
B1164,P1000,6E209,2025-04-24 11:37:36.951,CONFIRMED,24A,True
B1165,P1187,AI129,2025-08-20 11:37:36.951,CANCELLED,2F,True
B1166,P1055,SJ141,2026-01-23 11:37:36.951,CONFIRMED,34D,True
B1167,P1546,SJ018,2026-02-02 11:37:36.951,CANCELLED,9F,True
B1168,P1111,UK120,2025-10-14 11:37:36.951,CANCELLED,11C,True
B1169,P1797,AI078,2025-11-15 11:37:36.951,CONFIRMED,11E,True
B1170,P1309,AI079,2025-09-14 11:37:36.951,PENDING,15E,True
B1171,P1035,UK087,2025-09-19 11:37:36.951,CANCELLED,21A,True
B1172,P1438,UK133,2026-01-17 11:37:36.951,CONFIRMED,8F,True
B1173,P1728,AI222,2025-06-01 11:37:36.951,CANCELLED,22E,True
B1174,P1591,6E049,2026-04-12 11:37:36.951,CANCELLED,19D,True
B1175,P1825,6E105,2026-01-29 11:37:36.951,PENDING,27D,True
B1176,P1594,SJ226,2025-04-17 11:37:36.951,CANCELLED,7C,True
B1177,P1576,SJ227,2025-07-29 11:37:36.951,CANCELLED,34D,True
B1178,P1324,6E034,2026-02-05 11:37:36.951,CONFIRMED,34E,True
B1179,P1639,SJ078,2025-10-03 11:37:36.951,CONFIRMED,33D,True
B1180,P1306,AI240,2026-04-10 11:37:36.951,PENDING,22F,True
B1181,P1533,SJ002,2026-03-29 11:37:36.951,CANCELLED,12E,True
B1182,P1727,AI044,2025-08-11 11:37:36.951,CANCELLED,3A,True
B1183,P1618,UK076,2025-06-22 11:37:36.951,CANCELLED,8C,True
B1184,P1108,6E232,2025-08-01 11:37:36.951,PENDING,28E,True
B1185,P1371,SJ228,2025-08-16 11:37:36.951,CANCELLED,25E,True
B1186,P1356,SJ074,2026-04-04 11:37:36.951,CONFIRMED,1B,True
B1187,P1180,UK229,2025-08-04 11:37:36.951,PENDING,7F,True
B1188,P1355,AI208,2026-04-04 11:37:36.951,CONFIRMED,6A,True
B1189,P1675,AI019,2025-11-23 11:37:36.951,CONFIRMED,14F,True
B1190,P1067,6E029,2025-05-23 11:37:36.951,PENDING,12B,True
B1191,P1291,6E018,2025-04-27 11:37:36.951,CONFIRMED,25B,True
B1192,P1691,AI059,2025-06-23 11:37:36.951,CANCELLED,7D,True
B1193,P1180,AI159,2025-05-22 11:37:36.951,PENDING,13D,True
B1194,P1465,6E091,2025-07-11 11:37:36.951,CONFIRMED,14F,True
B1195,P1433,6E084,2025-07-20 11:37:36.951,CANCELLED,10B,True
B1196,P1463,UK170,2026-01-15 11:37:36.951,CANCELLED,20C,True
B1197,P1680,UK212,2025-05-19 11:37:36.951,CONFIRMED,2E,True
B1199,P1533,SJ075,2025-12-13 11:37:36.951,PENDING,30E,True
B1200,P1065,UK177,2025-09-17 11:37:36.951,CONFIRMED,16B,True
B1201,P1020,UK206,2026-02-01 11:37:36.951,CANCELLED,3A,True
B1202,P1611,UK079,2025-04-29 11:37:36.951,CANCELLED,29C,True
B1203,P1383,UK040,2025-06-21 11:37:36.951,CONFIRMED,3B,True
B1204,P1811,AI034,2025-07-25 11:37:36.951,CONFIRMED,30A,True
B1205,P1614,UK034,2025-10-18 11:37:36.951,CONFIRMED,23F,True
B1206,P1558,AI088,2025-07-02 11:37:36.951,CONFIRMED,13A,True
B1207,P1038,AI128,2025-06-11 11:37:36.951,PENDING,26A,True
B1209,P1821,AI233,2025-12-15 11:37:36.951,PENDING,3A,True
B1210,P1601,AI012,2026-01-20 11:37:36.951,PENDING,3C,True
B1211,P1596,AI084,2025-07-07 11:37:36.951,CONFIRMED,34A,True
B1212,P1784,6E126,2025-07-08 11:37:36.951,PENDING,34B,True
B1213,P1335,SJ061,2025-06-16 11:37:36.951,CONFIRMED,2E,True
B1215,P1670,AI135,2025-08-08 11:37:36.951,CANCELLED,28C,True
B1216,P1242,6E238,2025-12-09 11:37:36.951,CONFIRMED,10A,True
B1217,P1072,6E092,2026-03-19 11:37:36.951,CANCELLED,32C,True
B1218,P1478,AI213,2025-11-13 11:37:36.951,PENDING,2D,True
B1219,P1973,UK193,2026-02-15 11:37:36.951,CANCELLED,1B,True
B1220,P1560,6E178,2026-04-04 11:37:36.951,PENDING,29C,True
B1221,P1100,AI158,2026-03-06 11:37:36.951,CONFIRMED,19D,True
B1222,P1513,UK208,2026-03-30 11:37:36.951,PENDING,8A,True
B1224,P1175,UK185,2025-10-26 11:37:36.951,CONFIRMED,1E,True
B1225,P1237,AI163,2026-01-13 11:37:36.951,PENDING,4D,True
B1226,P1909,AI112,2025-08-23 11:37:36.951,CONFIRMED,15C,True
B1227,P1058,AI227,2025-10-23 11:37:36.951,CANCELLED,12A,True
B1228,P1864,SJ083,2026-04-17 11:37:36.951,CONFIRMED,29D,True
B1229,P1098,UK073,2026-02-07 11:37:36.951,CONFIRMED,13F,True
B1230,P1953,6E169,2025-04-29 11:37:36.951,PENDING,6C,True
B1231,P1870,UK154,2026-04-06 11:37:36.951,CANCELLED,27D,True
B1232,P1953,SJ169,2025-10-06 11:37:36.951,CONFIRMED,32F,True
B1233,P1494,6E187,2025-05-13 11:37:36.951,CANCELLED,5F,True
B1234,P1946,UK210,2025-11-21 11:37:36.951,CANCELLED,33A,True
B1235,P1979,6E250,2025-12-23 11:37:36.951,PENDING,13D,True
B1236,P1513,AI062,2025-07-05 11:37:36.951,CONFIRMED,25A,True
B1239,P1210,AI217,2025-11-17 11:37:36.951,CANCELLED,30A,True
B1240,P1122,UK100,2025-12-31 11:37:36.951,CONFIRMED,17A,True
B1241,P1228,UK116,2025-12-16 11:37:36.951,CONFIRMED,10A,True
B1242,P1593,6E036,2025-12-01 11:37:36.951,CANCELLED,26C,True
B1243,P1655,AI175,2026-01-22 11:37:36.951,CANCELLED,29E,True
B1244,P1387,UK051,2025-08-18 11:37:36.951,CONFIRMED,27D,True
B1246,P1540,6E230,2026-04-09 11:37:36.951,CONFIRMED,33B,True
B1247,P1390,SJ138,2025-08-13 11:37:36.951,CANCELLED,15F,True
B1248,P1269,AI246,2026-03-04 11:37:36.951,PENDING,16B,True
B1249,P1758,6E179,2025-06-06 11:37:36.951,CANCELLED,26B,True
B1250,P1011,6E031,2026-01-28 11:37:36.951,CANCELLED,16F,True
B1251,P1866,UK015,2025-08-30 11:37:36.951,PENDING,29A,True
B1252,P1388,UK001,2025-04-21 11:37:36.951,CANCELLED,27C,True
B1253,P1336,6E133,2026-02-27 11:37:36.951,CANCELLED,15E,True
B1254,P1505,6E143,2025-07-22 11:37:36.951,CANCELLED,5D,True
B1255,P1105,UK165,2025-09-22 11:37:36.951,CANCELLED,23F,True
B1256,P1031,6E083,2025-08-10 11:37:36.951,CANCELLED,22B,True
B1257,P1073,AI082,2025-08-19 11:37:36.951,CANCELLED,11C,True
B1258,P1170,AI164,2025-10-28 11:37:36.951,CANCELLED,21F,True
B1259,P1848,SJ155,2026-01-19 11:37:36.951,CANCELLED,31F,True
B1260,P1068,AI189,2026-01-04 11:37:36.951,CANCELLED,1D,True
B1261,P1812,SJ057,2025-12-21 11:37:36.951,CONFIRMED,34A,True
B1262,P1361,SJ198,2025-05-07 11:37:36.951,CONFIRMED,16F,True
B1263,P1648,6E122,2026-01-03 11:37:36.951,CANCELLED,6C,True
B1264,P1432,SJ097,2026-04-15 11:37:36.951,CONFIRMED,12A,True
B1265,P1928,UK203,2025-08-06 11:37:36.951,PENDING,28F,True
B1266,P1995,UK093,2026-01-16 11:37:36.951,CONFIRMED,27F,True
B1267,P1099,AI205,2025-05-21 11:37:36.951,CANCELLED,32A,True
B1269,P1008,6E046,2025-09-06 11:37:36.951,CONFIRMED,4C,True
B1271,P1696,6E156,2025-10-20 11:37:36.951,PENDING,28B,True
B1272,P1028,AI068,2025-07-18 11:37:36.951,PENDING,19A,True
B1274,P1113,UK008,2025-10-15 11:37:36.951,PENDING,20D,True
B1275,P1461,6E166,2025-07-11 11:37:36.951,PENDING,18F,True
B1276,P1920,6E177,2025-07-15 11:37:36.951,CONFIRMED,1A,True
B1277,P1142,AI196,2026-01-19 11:37:36.951,PENDING,12E,True
B1278,P1389,SJ191,2025-08-09 11:37:36.951,CONFIRMED,5B,True
B1280,P1681,AI226,2026-04-12 11:37:36.951,CONFIRMED,33B,True
B1281,P1156,SJ207,2026-01-21 11:37:36.951,CANCELLED,4A,True
B1282,P1334,AI009,2025-12-30 11:37:36.951,CANCELLED,8B,True
B1284,P1259,SJ127,2026-02-22 11:37:36.951,CANCELLED,25F,True
B1285,P1081,UK188,2026-03-26 11:37:36.951,CANCELLED,25B,True
B1287,P1440,SJ098,2025-12-13 11:37:36.951,CANCELLED,5F,True
B1288,P1944,6E058,2025-12-11 11:37:36.951,PENDING,18C,True
B1289,P1171,SJ030,2026-03-23 11:37:36.951,PENDING,24F,True
B1290,P1230,UK175,2025-07-26 11:37:36.951,CANCELLED,16F,True
B1291,P1719,SJ108,2026-04-01 11:37:36.951,PENDING,28E,True
B1292,P1074,6E075,2025-08-03 11:37:36.951,CONFIRMED,7C,True
B1293,P1269,UK222,2025-08-31 11:37:36.951,CONFIRMED,25F,True
B1294,P1898,6E250,2025-07-13 11:37:36.951,CANCELLED,34B,True
B1295,P1625,AI096,2025-12-29 11:37:36.951,CANCELLED,14B,True
B1296,P1061,AI216,2025-12-23 11:37:36.951,CANCELLED,1B,True
B1297,P1873,6E193,2026-01-23 11:37:36.951,PENDING,8A,True
B1298,P1319,SJ194,2026-01-02 11:37:36.951,PENDING,6C,True
B1299,P1101,SJ020,2025-09-11 11:37:36.951,CONFIRMED,16F,True
B1300,P1428,6E070,2025-06-14 11:37:36.951,PENDING,21C,True
B1301,P1873,AI051,2025-09-03 11:37:36.951,CONFIRMED,12A,True
B1302,P1721,UK219,2025-12-27 11:37:36.951,PENDING,3D,True
B1303,P1953,AI235,2025-12-13 11:37:36.951,CONFIRMED,20A,True
B1305,P1531,SJ114,2025-09-28 11:37:36.951,PENDING,13C,True
B1306,P1569,SJ076,2025-12-01 11:37:36.951,CONFIRMED,30A,True
B1307,P1111,UK227,2026-01-26 11:37:36.951,PENDING,32E,True
B1308,P1984,UK135,2025-07-22 11:37:36.951,CANCELLED,30D,True
B1309,P1312,AI234,2025-05-06 11:37:36.951,CONFIRMED,30F,True
B1310,P1997,6E113,2025-08-20 11:37:36.951,PENDING,5D,True
B1311,P1460,SJ206,2025-11-16 11:37:36.951,PENDING,9D,True
B1313,P1886,6E260,2025-05-16 11:37:36.951,CANCELLED,33E,True
B1314,P1461,AI061,2025-04-28 11:37:36.951,CONFIRMED,19C,True
B1315,P1864,6E237,2026-03-26 11:37:36.951,PENDING,9C,True
B1316,P1091,SJ099,2026-01-06 11:37:36.951,PENDING,27C,True
B1317,P1051,SJ146,2026-02-24 11:37:36.951,CANCELLED,21F,True
B1318,P1804,SJ146,2025-05-23 11:37:36.951,CANCELLED,29B,True
B1319,P1519,6E071,2025-05-04 11:37:36.951,CONFIRMED,4C,True
B1320,P1811,6E272,2025-08-13 11:37:36.951,PENDING,6C,True
B1321,P1097,SJ029,2026-02-12 11:37:36.951,PENDING,13A,True
B1322,P1235,UK084,2025-07-27 11:37:36.951,CONFIRMED,6E,True
B1323,P1900,SJ048,2026-02-06 11:37:36.951,CONFIRMED,14D,True
B1324,P1373,AI108,2026-02-04 11:37:36.951,CANCELLED,33B,True
B1325,P1580,SJ134,2025-08-11 11:37:36.951,CANCELLED,3B,True
B1326,P1926,UK146,2025-10-31 11:37:36.951,CONFIRMED,14F,True
B1327,P1556,SJ036,2025-09-24 11:37:36.951,CONFIRMED,26C,True
B1328,P1648,6E202,2025-11-01 11:37:36.951,PENDING,33B,True
B1329,P1233,UK041,2026-02-13 11:37:36.951,CONFIRMED,22C,True
B1330,P1031,6E078,2025-12-06 11:37:36.951,CONFIRMED,23A,True
B1331,P1288,AI097,2025-07-03 11:37:36.951,PENDING,22C,True
B1332,P1637,UK159,2026-01-15 11:37:36.951,CONFIRMED,7D,True
B1333,P1578,UK044,2025-09-06 11:37:36.951,CANCELLED,12B,True
B1334,P1541,6E176,2025-09-27 11:37:36.951,CANCELLED,6F,True
B1335,P1113,SJ221,2026-02-11 11:37:36.951,PENDING,4A,True
B1336,P1203,6E112,2025-07-03 11:37:36.951,CONFIRMED,22A,True
B1338,P1642,6E014,2026-02-21 11:37:36.951,CANCELLED,14C,True
B1339,P1473,AI237,2025-09-17 11:37:36.951,CANCELLED,28A,True
B1340,P1696,6E003,2025-12-14 11:37:36.951,CANCELLED,12E,True
B1341,P1252,6E249,2025-07-04 11:37:36.951,CONFIRMED,5A,True
B1342,P1797,UK149,2025-04-29 11:37:36.951,CONFIRMED,4A,True
B1343,P1904,SJ163,2026-03-08 11:37:36.951,CONFIRMED,9F,True
B1344,P1921,SJ243,2026-03-28 11:37:36.951,CONFIRMED,1D,True
B1345,P1385,UK113,2025-06-06 11:37:36.951,CANCELLED,1A,True
B1346,P1061,AI071,2025-06-07 11:37:36.951,PENDING,30E,True
B1347,P1514,6E271,2026-02-07 11:37:36.951,PENDING,22A,True
B1348,P1429,SJ015,2025-06-05 11:37:36.951,CANCELLED,27E,True
B1349,P1579,UK047,2025-11-19 11:37:36.951,CANCELLED,9E,True
B1350,P1536,UK020,2026-02-04 11:37:36.951,PENDING,12A,True
B1351,P1690,AI122,2025-09-03 11:37:36.951,PENDING,27F,True
B1352,P1140,UK223,2025-10-20 11:37:36.951,CANCELLED,17D,True
B1353,P1742,6E148,2025-09-19 11:37:36.951,CANCELLED,15F,True
B1354,P1299,SJ162,2025-12-14 11:37:36.951,CONFIRMED,34A,True
B1355,P1674,6E127,2026-03-30 11:37:36.951,CONFIRMED,28B,True
B1356,P1310,AI173,2025-11-10 11:37:36.951,PENDING,11F,True
B1358,P1392,AI053,2025-06-22 11:37:36.951,PENDING,20A,True
B1359,P1641,AI241,2025-10-22 11:37:36.951,CONFIRMED,14E,True
B1361,P1757,AI110,2025-08-24 11:37:36.951,PENDING,13F,True
B1362,P1808,AI252,2025-10-22 11:37:36.951,CONFIRMED,15B,True
B1363,P1171,AI149,2025-12-14 11:37:36.951,CANCELLED,3B,True
B1364,P1575,AI224,2025-09-09 11:37:36.951,PENDING,23F,True
B1365,P1030,UK158,2025-07-03 11:37:36.951,CANCELLED,15B,True
B1366,P1046,6E125,2025-05-05 11:37:36.951,CANCELLED,25E,True
B1367,P1129,UK164,2025-12-14 11:37:36.951,CONFIRMED,18A,True
B1368,P1351,UK007,2025-12-26 11:37:36.951,CANCELLED,1E,True
B1369,P1977,6E118,2026-03-18 11:37:36.951,PENDING,15F,True
B1370,P1844,SJ004,2026-01-01 11:37:36.951,CANCELLED,19C,True
B1371,P1621,6E206,2025-09-25 11:37:36.951,CANCELLED,15E,True
B1372,P1580,SJ130,2025-05-11 11:37:36.951,CANCELLED,11D,True
B1373,P1057,SJ070,2026-02-14 11:37:36.951,CANCELLED,22F,True
B1374,P1105,AI085,2025-04-24 11:37:36.951,CANCELLED,7F,True
B1375,P1811,SJ109,2025-09-02 11:37:36.951,CONFIRMED,15B,True
B1376,P1329,AI168,2025-08-24 11:37:36.951,PENDING,16B,True
B1377,P1767,UK123,2025-10-24 11:37:36.951,CONFIRMED,26A,True
B1378,P1823,UK110,2026-01-16 11:37:36.951,PENDING,30D,True
B1379,P1682,AI206,2025-11-02 11:37:36.951,PENDING,31C,True
B1380,P1382,6E007,2026-04-16 11:37:36.951,PENDING,6B,True
B1381,P1984,SJ013,2025-11-11 11:37:36.951,PENDING,33A,True
B1382,P1161,UK061,2025-09-19 11:37:36.951,PENDING,20D,True
