flight_key,flight_id,airline_key,airline,route_key,date_key,source,destination,route,departure_datetime,arrival_datetime,departure_date,departure_hour,arrival_date,arrival_hour,flight_duration_minutes,flight_duration_hours,is_overnight,duration_anomaly
34,6E213,2,IndiGo,1,20260420,BLR,BOM,BLR → BOM,2026-04-20 21:05:41.703,2026-04-21 00:32:41.703,2026-04-20,21,2026-04-21,0,207.0,3.45,0,0
35,UK200,4,Vistara,13,20260420,CCU,DEL,CCU → DEL,2026-04-20 20:54:41.703,2026-04-20 22:45:41.703,2026-04-20,20,2026-04-20,22,111.0,1.85,0,0
36,SJ214,3,SpiceJet,10,20260420,BOM,MAA,BOM → MAA,2026-04-20 20:54:41.703,2026-04-20 22:10:41.703,2026-04-20,20,2026-04-20,22,76.0,1.2666666666666666,0,0
37,SJ047,3,SpiceJet,22,20260420,HYD,BOM,HYD → BOM,2026-04-20 20:44:41.701,2026-04-20 21:21:41.701,2026-04-20,20,2026-04-20,21,37.0,0.6166666666666667,0,0
38,AI179,1,Air India,22,20260420,HYD,BOM,HYD → BOM,2026-04-20 20:41:41.703,2026-04-21 01:19:41.703,2026-04-20,20,2026-04-21,1,278.0,4.633333333333334,0,0
39,SJ153,3,SpiceJet,18,20260420,DEL,CCU,DEL → CCU,2026-04-20 20:37:41.702,2026-04-20 22:00:41.702,2026-04-20,20,2026-04-20,22,83.0,1.3833333333333333,0,0
40,6E236,2,IndiGo,8,20260420,BOM,DEL,BOM → DEL,2026-04-20 20:35:41.704,2026-04-20 23:54:41.704,2026-04-20,20,2026-04-20,23,199.0,3.316666666666667,0,0
41,UK059,4,Vistara,25,20260420,HYD,MAA,HYD → MAA,2026-04-20 20:33:41.701,2026-04-20 22:10:41.701,2026-04-20,20,2026-04-20,22,97.0,1.6166666666666667,0,0
42,SJ001,3,SpiceJet,10,20260420,BOM,MAA,BOM → MAA,2026-04-20 20:28:41.700,2026-04-21 01:15:41.700,2026-04-20,20,2026-04-21,1,287.0,4.783333333333333,0,0
43,SJ049,3,SpiceJet,13,20260420,CCU,DEL,CCU → DEL,2026-04-20 20:26:41.701,2026-04-21 00:26:41.701,2026-04-20,20,2026-04-21,0,240.0,4.0,0,0
44,6E086,2,IndiGo,30,20260420,MAA,HYD,MAA → HYD,2026-04-20 20:23:41.702,2026-04-20 21:00:41.702,2026-04-20,20,2026-04-20,21,37.0,0.6166666666666667,0,0
45,AI220,1,Air India,8,20260420,BOM,DEL,BOM → DEL,2026-04-20 20:19:41.703,2026-04-20 21:57:41.703,2026-04-20,20,2026-04-20,21,98.0,1.6333333333333333,0,0
46,AI188,1,Air India,14,20260420,CCU,HYD,CCU → HYD,2026-04-20 20:16:41.703,2026-04-20 23:02:41.703,2026-04-20,20,2026-04-20,23,166.0,2.7666666666666666,0,0
47,6E114,2,IndiGo,10,20260420,BOM,MAA,BOM → MAA,2026-04-20 20:10:41.702,2026-04-20 21:00:41.702,2026-04-20,20,2026-04-20,21,50.0,0.8333333333333334,0,0
48,SJ179,3,SpiceJet,19,20260420,DEL,HYD,DEL → HYD,2026-04-20 20:09:41.703,2026-04-20 23:39:41.703,2026-04-20,20,2026-04-20,23,210.0,3.5,0,0
49,6E190,2,IndiGo,20,20260420,DEL,MAA,DEL → MAA,2026-04-20 20:02:41.703,2026-04-21 00:36:41.703,2026-04-20,20,2026-04-21,0,274.0,4.566666666666666,0,0
50,SJ003,3,SpiceJet,28,20260420,MAA,CCU,MAA → CCU,2026-04-20 19:50:41.701,2026-04-20 20:32:41.701,2026-04-20,19,2026-04-20,20,42.0,0.7,0,0
51,6E028,2,IndiGo,23,20260420,HYD,CCU,HYD → CCU,2026-04-20 19:49:41.701,2026-04-20 21:49:41.701,2026-04-20,19,2026-04-20,21,120.0,2.0,0,0
52,UK036,4,Vistara,11,20260420,CCU,BLR,CCU → BLR,2026-04-20 19:48:41.701,2026-04-21 00:12:41.701,2026-04-20,19,2026-04-21,0,264.0,4.4,0,0
53,SJ160,3,SpiceJet,26,20260420,MAA,BLR,MAA → BLR,2026-04-20 19:45:41.703,2026-04-20 20:30:41.703,2026-04-20,19,2026-04-20,20,45.0,0.75,0,0
54,6E151,2,IndiGo,14,20260420,CCU,HYD,CCU → HYD,2026-04-20 19:44:41.703,2026-04-20 22:04:41.703,2026-04-20,19,2026-04-20,22,140.0,2.3333333333333335,0,0
55,UK140,4,Vistara,26,20260420,MAA,BLR,MAA → BLR,2026-04-20 19:37:41.703,2026-04-20 21:00:41.703,2026-04-20,19,2026-04-20,21,83.0,1.3833333333333333,0,0
56,AI115,1,Air India,26,20260420,MAA,BLR,MAA → BLR,2026-04-20 19:37:41.702,2026-04-21 00:26:41.702,2026-04-20,19,2026-04-21,0,289.0,4.816666666666666,0,0
57,AI132,1,Air India,1,20260420,BLR,BOM,BLR → BOM,2026-04-20 19:32:41.702,2026-04-20 21:41:41.702,2026-04-20,19,2026-04-20,21,129.0,2.15,0,0
58,UK209,4,Vistara,26,20260420,MAA,BLR,MAA → BLR,2026-04-20 19:02:41.704,2026-04-20 21:47:41.704,2026-04-20,19,2026-04-20,21,165.0,2.75,0,0
59,SJ043,3,SpiceJet,29,20260420,MAA,DEL,MAA → DEL,2026-04-20 18:59:41.701,2026-04-20 21:08:41.701,2026-04-20,18,2026-04-20,21,129.0,2.15,0,0
60,UK176,4,Vistara,21,20260420,HYD,BLR,HYD → BLR,2026-04-20 18:41:41.703,2026-04-20 22:49:41.703,2026-04-20,18,2026-04-20,22,248.0,4.133333333333334,0,0
61,UK216,4,Vistara,30,20260420,MAA,HYD,MAA → HYD,2026-04-20 18:33:41.704,2026-04-20 21:47:41.704,2026-04-20,18,2026-04-20,21,194.0,3.2333333333333334,0,0
62,UK150,4,Vistara,18,20260420,DEL,CCU,DEL → CCU,2026-04-20 18:31:41.703,2026-04-20 19:01:41.703,2026-04-20,18,2026-04-20,19,30.0,0.5,0,0
63,UK145,4,Vistara,9,20260420,BOM,HYD,BOM → HYD,2026-04-20 18:30:41.703,2026-04-20 20:41:41.703,2026-04-20,18,2026-04-20,20,131.0,2.183333333333333,0,0
64,6E270,2,IndiGo,25,20260420,HYD,MAA,HYD → MAA,2026-04-20 18:14:41.701,2026-04-20 19:02:41.701,2026-04-20,18,2026-04-20,19,48.0,0.8,0,0
65,6E012,2,IndiGo,14,20260420,CCU,HYD,CCU → HYD,2026-04-20 18:06:41.701,2026-04-20 21:31:41.701,2026-04-20,18,2026-04-20,21,205.0,3.4166666666666665,0,0
66,SJ236,3,SpiceJet,27,20260420,MAA,BOM,MAA → BOM,2026-04-20 18:03:41.704,2026-04-20 22:02:41.704,2026-04-20,18,2026-04-20,22,239.0,3.9833333333333334,0,0
67,6E149,2,IndiGo,2,20260420,BLR,CCU,BLR → CCU,2026-04-20 17:57:41.703,2026-04-20 20:42:41.703,2026-04-20,17,2026-04-20,20,165.0,2.75,0,0
68,UK004,4,Vistara,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 17:56:41.700,2026-04-20 18:30:41.700,2026-04-20,17,2026-04-20,18,34.0,0.5666666666666667,0,0
69,UK010,4,Vistara,30,20260420,MAA,HYD,MAA → HYD,2026-04-20 17:53:41.701,2026-04-20 20:40:41.701,2026-04-20,17,2026-04-20,20,167.0,2.783333333333333,0,0
70,UK215,4,Vistara,8,20260420,BOM,DEL,BOM → DEL,2026-04-20 17:38:41.704,2026-04-20 19:50:41.704,2026-04-20,17,2026-04-20,19,132.0,2.2,0,0
71,SJ116,3,SpiceJet,23,20260420,HYD,CCU,HYD → CCU,2026-04-20 17:33:41.702,2026-04-20 19:02:41.702,2026-04-20,17,2026-04-20,19,89.0,1.4833333333333334,0,0
72,SJ023,3,SpiceJet,25,20260420,HYD,MAA,HYD → MAA,2026-04-20 17:27:41.701,2026-04-20 19:09:41.701,2026-04-20,17,2026-04-20,19,102.0,1.7,0,0
73,UK152,4,Vistara,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 17:24:41.703,2026-04-20 20:13:41.703,2026-04-20,17,2026-04-20,20,169.0,2.816666666666667,0,0
74,SJ202,3,SpiceJet,14,20260420,CCU,HYD,CCU → HYD,2026-04-20 17:21:41.703,2026-04-20 19:08:41.703,2026-04-20,17,2026-04-20,19,107.0,1.7833333333333334,0,0
75,6E043,2,IndiGo,9,20260420,BOM,HYD,BOM → HYD,2026-04-20 17:17:41.701,2026-04-20 18:43:41.701,2026-04-20,17,2026-04-20,18,86.0,1.4333333333333333,0,0
76,UK173,4,Vistara,26,20260420,MAA,BLR,MAA → BLR,2026-04-20 17:06:41.703,2026-04-20 21:22:41.703,2026-04-20,17,2026-04-20,21,256.0,4.266666666666667,0,0
77,SJ081,3,SpiceJet,6,20260420,BOM,BLR,BOM → BLR,2026-04-20 17:04:41.702,2026-04-20 18:53:41.702,2026-04-20,17,2026-04-20,18,109.0,1.8166666666666667,0,0
78,UK153,4,Vistara,14,20260420,CCU,HYD,CCU → HYD,2026-04-20 16:52:41.703,2026-04-20 20:53:41.703,2026-04-20,16,2026-04-20,20,241.0,4.016666666666667,0,0
79,UK187,4,Vistara,1,20260420,BLR,BOM,BLR → BOM,2026-04-20 16:52:41.703,2026-04-20 18:42:41.703,2026-04-20,16,2026-04-20,18,110.0,1.8333333333333333,0,0
80,UK055,4,Vistara,24,20260420,HYD,DEL,HYD → DEL,2026-04-20 16:48:41.701,2026-04-20 19:31:41.701,2026-04-20,16,2026-04-20,19,163.0,2.716666666666667,0,0
81,UK181,4,Vistara,29,20260420,MAA,DEL,MAA → DEL,2026-04-20 16:44:41.703,2026-04-20 19:26:41.703,2026-04-20,16,2026-04-20,19,162.0,2.7,0,0
82,UK074,4,Vistara,8,20260420,BOM,DEL,BOM → DEL,2026-04-20 16:44:41.702,2026-04-20 18:41:41.702,2026-04-20,16,2026-04-20,18,117.0,1.95,0,0
83,SJ068,3,SpiceJet,1,20260420,BLR,BOM,BLR → BOM,2026-04-20 16:44:41.701,2026-04-20 18:48:41.701,2026-04-20,16,2026-04-20,18,124.0,2.066666666666667,0,0
84,AI242,1,Air India,2,20260420,BLR,CCU,BLR → CCU,2026-04-20 16:41:41.704,2026-04-20 17:43:41.704,2026-04-20,16,2026-04-20,17,62.0,1.0333333333333334,0,0
85,SJ237,3,SpiceJet,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 16:32:41.704,2026-04-20 19:00:41.704,2026-04-20,16,2026-04-20,19,148.0,2.466666666666667,0,0
86,6E194,2,IndiGo,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 16:29:41.703,2026-04-20 18:27:41.703,2026-04-20,16,2026-04-20,18,118.0,1.9666666666666666,0,0
87,UK063,4,Vistara,17,20260420,DEL,BOM,DEL → BOM,2026-04-20 16:29:41.701,2026-04-20 17:41:41.701,2026-04-20,16,2026-04-20,17,72.0,1.2,0,0
88,UK068,4,Vistara,5,20260420,BLR,MAA,BLR → MAA,2026-04-20 16:28:41.701,2026-04-20 18:09:41.701,2026-04-20,16,2026-04-20,18,101.0,1.6833333333333333,0,0
89,UK224,4,Vistara,15,20260420,CCU,MAA,CCU → MAA,2026-04-20 16:25:41.704,2026-04-20 20:24:41.704,2026-04-20,16,2026-04-20,20,239.0,3.9833333333333334,0,0
90,UK077,4,Vistara,22,20260420,HYD,BOM,HYD → BOM,2026-04-20 16:22:41.702,2026-04-20 18:00:41.702,2026-04-20,16,2026-04-20,18,98.0,1.6333333333333333,0,0
91,UK207,4,Vistara,28,20260420,MAA,CCU,MAA → CCU,2026-04-20 16:21:41.703,2026-04-20 17:36:41.703,2026-04-20,16,2026-04-20,17,75.0,1.25,0,0
92,AI221,1,Air India,30,20260420,MAA,HYD,MAA → HYD,2026-04-20 16:18:41.703,2026-04-20 18:54:41.703,2026-04-20,16,2026-04-20,18,156.0,2.6,0,0
93,UK109,4,Vistara,1,20260420,BLR,BOM,BLR → BOM,2026-04-20 16:06:41.702,2026-04-20 17:06:42.000,2026-04-20,16,2026-04-20,17,60.00496666666666,1.0000827777777777,0,0
94,UK089,4,Vistara,9,20260420,BOM,HYD,BOM → HYD,2026-04-20 15:38:41.702,2026-04-20 19:50:41.702,2026-04-20,15,2026-04-20,19,252.0,4.2,0,0
95,AI072,1,Air India,2,20260420,BLR,CCU,BLR → CCU,2026-04-20 15:34:41.702,2026-04-20 16:32:41.702,2026-04-20,15,2026-04-20,16,58.0,0.9666666666666667,0,0
96,UK131,4,Vistara,8,20260420,BOM,DEL,BOM → DEL,2026-04-20 15:33:41.702,2026-04-20 19:39:41.702,2026-04-20,15,2026-04-20,19,246.0,4.1,0,0
97,SJ150,3,SpiceJet,9,20260420,BOM,HYD,BOM → HYD,2026-04-20 15:33:41.702,2026-04-20 19:03:41.702,2026-04-20,15,2026-04-20,19,210.0,3.5,0,0
98,6E097,2,IndiGo,1,20260420,BLR,BOM,BLR → BOM,2026-04-20 15:32:41.702,2026-04-20 16:49:41.702,2026-04-20,15,2026-04-20,16,77.0,1.2833333333333334,0,0
99,6E123,2,IndiGo,19,20260420,DEL,HYD,DEL → HYD,2026-04-20 15:26:41.702,2026-04-20 17:12:41.702,2026-04-20,15,2026-04-20,17,106.0,1.7666666666666666,0,0
100,6E017,2,IndiGo,12,20260420,CCU,BOM,CCU → BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,2026-04-20,15,2026-04-20,18,161.0,2.683333333333333,0,0
101,6E245,2,IndiGo,12,20260420,CCU,BOM,CCU → BOM,2026-04-20 15:25:41.701,2026-04-20 18:06:41.701,2026-04-20,15,2026-04-20,18,161.0,2.683333333333333,0,0
102,6E180,2,IndiGo,26,20260420,MAA,BLR,MAA → BLR,2026-04-20 15:24:41.703,2026-04-20 19:48:41.703,2026-04-20,15,2026-04-20,19,264.0,4.4,0,0
103,6E152,2,IndiGo,13,20260420,CCU,DEL,CCU → DEL,2026-04-20 15:21:41.703,2026-04-20 17:25:41.703,2026-04-20,15,2026-04-20,17,124.0,2.066666666666667,0,0
104,SJ034,3,SpiceJet,27,20260420,MAA,BOM,MAA → BOM,2026-04-20 15:20:41.701,2026-04-20 20:11:41.701,2026-04-20,15,2026-04-20,20,291.0,4.85,0,0
105,SJ142,3,SpiceJet,12,20260420,CCU,BOM,CCU → BOM,2026-04-20 15:14:41.702,2026-04-20 16:56:41.702,2026-04-20,15,2026-04-20,16,102.0,1.7,0,0
106,UK189,4,Vistara,5,20260420,BLR,MAA,BLR → MAA,2026-04-20 15:07:41.703,2026-04-20 18:51:41.703,2026-04-20,15,2026-04-20,18,224.0,3.7333333333333334,0,0
107,SJ044,3,SpiceJet,18,20260420,DEL,CCU,DEL → CCU,2026-04-20 15:06:41.701,2026-04-20 17:43:41.701,2026-04-20,15,2026-04-20,17,157.0,2.6166666666666667,0,0
108,SJ196,3,SpiceJet,19,20260420,DEL,HYD,DEL → HYD,2026-04-20 14:58:41.703,2026-04-20 17:44:41.703,2026-04-20,14,2026-04-20,17,166.0,2.7666666666666666,0,0
109,6E188,2,IndiGo,19,20260420,DEL,HYD,DEL → HYD,2026-04-20 14:57:41.703,2026-04-20 19:39:41.703,2026-04-20,14,2026-04-20,19,282.0,4.7,0,0
110,6E181,2,IndiGo,10,20260420,BOM,MAA,BOM → MAA,2026-04-20 14:55:41.703,2026-04-20 16:43:41.703,2026-04-20,14,2026-04-20,16,108.0,1.8,0,0
111,6E077,2,IndiGo,13,20260420,CCU,DEL,CCU → DEL,2026-04-20 14:55:41.702,2026-04-20 19:13:41.702,2026-04-20,14,2026-04-20,19,258.0,4.3,0,0
112,SJ154,3,SpiceJet,4,20260420,BLR,HYD,BLR → HYD,2026-04-20 14:47:41.702,2026-04-20 16:26:41.702,2026-04-20,14,2026-04-20,16,99.0,1.65,0,0
113,AI025,1,Air India,24,20260420,HYD,DEL,HYD → DEL,2026-04-20 14:46:41.701,2026-04-20 17:11:41.701,2026-04-20,14,2026-04-20,17,145.0,2.4166666666666665,0,0
114,AI094,1,Air India,16,20260420,DEL,BLR,DEL → BLR,2026-04-20 14:44:41.702,2026-04-20 15:44:42.000,2026-04-20,14,2026-04-20,15,60.00496666666666,1.0000827777777777,0,0
115,6E191,2,IndiGo,3,20260420,BLR,DEL,BLR → DEL,2026-04-20 14:41:41.703,2026-04-20 15:11:41.703,2026-04-20,14,2026-04-20,15,30.0,0.5,0,0
116,SJ085,3,SpiceJet,5,20260420,BLR,MAA,BLR → MAA,2026-04-20 14:41:41.702,2026-04-20 19:11:41.702,2026-04-20,14,2026-04-20,19,270.0,4.5,0,0
117,6E261,2,IndiGo,13,20260420,CCU,DEL,CCU → DEL,2026-04-20 14:31:41.703,2026-04-20 17:29:41.703,2026-04-20,14,2026-04-20,17,178.0,2.966666666666667,0,0
118,6E129,2,IndiGo,18,20260420,DEL,CCU,DEL → CCU,2026-04-20 14:28:41.702,2026-04-20 16:47:41.702,2026-04-20,14,2026-04-20,16,139.0,2.316666666666667,0,0
119,6E254,2,IndiGo,26,20260420,MAA,BLR,MAA → BLR,2026-04-20 14:26:41.703,2026-04-20 18:01:41.703,2026-04-20,14,2026-04-20,18,215.0,3.5833333333333335,0,0
120,SJ185,3,SpiceJet,7,20260420,BOM,CCU,BOM → CCU,2026-04-20 14:21:41.703,2026-04-20 15:21:41.703,2026-04-20,14,2026-04-20,15,60.0,1.0,0,0
121,6E030,2,IndiGo,8,20260420,BOM,DEL,BOM → DEL,2026-04-20 14:20:41.701,2026-04-20 17:10:41.701,2026-04-20,14,2026-04-20,17,170.0,2.8333333333333335,0,0
122,SJ222,3,SpiceJet,8,20260420,BOM,DEL,BOM → DEL,2026-04-20 14:15:41.703,2026-04-20 17:09:41.703,2026-04-20,14,2026-04-20,17,174.0,2.9,0,0
123,6E259,2,IndiGo,8,20260420,BOM,DEL,BOM → DEL,2026-04-20 14:10:41.703,2026-04-20 15:21:41.703,2026-04-20,14,2026-04-20,15,71.0,1.1833333333333333,0,0
124,UK083,4,Vistara,19,20260420,DEL,HYD,DEL → HYD,2026-04-20 14:10:41.702,2026-04-20 14:59:41.702,2026-04-20,14,2026-04-20,14,49.0,0.8166666666666667,0,0
125,6E051,2,IndiGo,1,20260420,BLR,BOM,BLR → BOM,2026-04-20 13:58:41.701,2026-04-20 15:58:41.701,2026-04-20,13,2026-04-20,15,120.0,2.0,0,0
126,SJ088,3,SpiceJet,15,20260420,CCU,MAA,CCU → MAA,2026-04-20 13:54:41.702,2026-04-20 14:26:41.702,2026-04-20,13,2026-04-20,14,32.0,0.5333333333333333,0,0
127,6E146,2,IndiGo,25,20260420,HYD,MAA,HYD → MAA,2026-04-20 13:51:41.703,2026-04-20 15:07:41.703,2026-04-20,13,2026-04-20,15,76.0,1.2666666666666666,0,0
128,6E047,2,IndiGo,29,20260420,MAA,DEL,MAA → DEL,2026-04-20 13:50:41.701,2026-04-20 15:55:41.701,2026-04-20,13,2026-04-20,15,125.0,2.0833333333333335,0,0
129,AI077,1,Air India,14,20260420,CCU,HYD,CCU → HYD,2026-04-20 13:45:41.702,2026-04-20 14:51:41.702,2026-04-20,13,2026-04-20,14,66.0,1.1,0,0
130,UK134,4,Vistara,23,20260420,HYD,CCU,HYD → CCU,2026-04-20 13:44:41.702,2026-04-20 17:26:41.702,2026-04-20,13,2026-04-20,17,222.0,3.7,0,0
131,AI056,1,Air India,20,20260420,DEL,MAA,DEL → MAA,2026-04-20 13:44:41.701,2026-04-20 17:39:41.701,2026-04-20,13,2026-04-20,17,235.0,3.9166666666666665,0,0
132,UK141,4,Vistara,25,20260420,HYD,MAA,HYD → MAA,2026-04-20 13:38:41.703,2026-04-20 15:59:41.703,2026-04-20,13,2026-04-20,15,141.0,2.35,0,0
133,AI030,1,Air India,14,20260420,CCU,HYD,CCU → HYD,2026-04-20 13:33:41.701,2026-04-20 16:52:41.701,2026-04-20,13,2026-04-20,16,199.0,3.316666666666667,0,0
134,AI029,1,Air India,29,20260420,MAA,DEL,MAA → DEL,2026-04-20 13:29:41.701,2026-04-20 17:53:41.701,2026-04-20,13,2026-04-20,17,264.0,4.4,0,0
135,SJ167,3,SpiceJet,28,20260420,MAA,CCU,MAA → CCU,2026-04-20 13:18:41.703,2026-04-20 14:12:41.703,2026-04-20,13,2026-04-20,14,54.0,0.9,0,0
136,UK017,4,Vistara,4,20260420,BLR,HYD,BLR → HYD,2026-04-20 13:14:41.701,2026-04-20 14:49:41.701,2026-04-20,13,2026-04-20,14,95.0,1.5833333333333333,0,0
137,6E229,2,IndiGo,29,20260420,MAA,DEL,MAA → DEL,2026-04-20 13:10:41.704,2026-04-20 14:30:41.704,2026-04-20,13,2026-04-20,14,80.0,1.3333333333333333,0,0
138,SJ117,3,SpiceJet,26,20260420,MAA,BLR,MAA → BLR,2026-04-20 13:10:41.702,2026-04-20 17:06:41.702,2026-04-20,13,2026-04-20,17,236.0,3.933333333333333,0,0
139,6E184,2,IndiGo,27,20260420,MAA,BOM,MAA → BOM,2026-04-20 13:05:41.703,2026-04-20 16:04:41.703,2026-04-20,13,2026-04-20,16,179.0,2.9833333333333334,0,0
